Date,Hour,PJM_Load
12/31/98,100,29309
12/31/98,200,28236
12/31/98,300,27692
12/31/98,400,27596
12/31/98,500,27888
12/31/98,600,29382
12/31/98,700,31373
12/31/98,800,33272
12/31/98,900,34133
12/31/98,1000,35232
12/31/98,1100,35401
12/31/98,1200,35331
12/31/98,1300,34582
12/31/98,1400,33767
12/31/98,1500,33026
12/31/98,1600,32620
12/31/98,1700,33741
12/31/98,1800,36510
12/31/98,1900,36783
12/31/98,2000,35482
12/31/98,2100,34305
12/31/98,2200,33277
12/31/98,2300,32068
12/31/98,2400,30824
12/30/98,100,25013
12/30/98,200,23917
12/30/98,300,23327
12/30/98,400,23286
12/30/98,500,23723
12/30/98,600,25444
12/30/98,700,28235
12/30/98,800,30483
12/30/98,900,32825
12/30/98,1000,34090
12/30/98,1100,34870
12/30/98,1200,34921
12/30/98,1300,34480
12/30/98,1400,34041
12/30/98,1500,33711
12/30/98,1600,33567
12/30/98,1700,35062
12/30/98,1800,38368
12/30/98,1900,38925
12/30/98,2000,38324
12/30/98,2100,37760
12/30/98,2200,36344
12/30/98,2300,34074
12/30/98,2400,31552
12/29/98,100,24873
12/29/98,200,23807
12/29/98,300,23270
12/29/98,400,23182
12/29/98,500,23591
12/29/98,600,25004
12/29/98,700,27692
12/29/98,800,30187
12/29/98,900,31570
12/29/98,1000,32641
12/29/98,1100,33356
12/29/98,1200,33516
12/29/98,1300,33184
12/29/98,1400,32967
12/29/98,1500,32664
12/29/98,1600,32507
12/29/98,1700,33292
12/29/98,1800,35472
12/29/98,1900,35260
12/29/98,2000,34383
12/29/98,2100,33535
12/29/98,2200,32112
12/29/98,2300,29762
12/29/98,2400,27167
12/28/98,100,24956
12/28/98,200,23915
12/28/98,300,23379
12/28/98,400,23376
12/28/98,500,23819
12/28/98,600,25369
12/28/98,700,27828
12/28/98,800,30245
12/28/98,900,31463
12/28/98,1000,32527
12/28/98,1100,32898
12/28/98,1200,32591
12/28/98,1300,32150
12/28/98,1400,31907
12/28/98,1500,31588
12/28/98,1600,31692
12/28/98,1700,33127
12/28/98,1800,35224
12/28/98,1900,34985
12/28/98,2000,34200
12/28/98,2100,33441
12/28/98,2200,32023
12/28/98,2300,29750
12/28/98,2400,27063
12/27/98,100,26485
12/27/98,200,25445
12/27/98,300,24969
