Date,Hour,PJM-E,PJM-W,NI,DAY,AEP,DUQ,DOM
12/31/08,100,28937,5214,11072,1722,14548,1421,9352
12/31/08,200,27714,5044,10539,1687,14045,1364,9031
12/31/08,300,27120,4940,10242,1677,13851,1325,8917
12/31/08,400,26995,4937,10100,1687,13790,1314,8988
12/31/08,500,27523,5030,10130,1730,14152,1322,9189
12/31/08,600,29087,5273,10334,1827,14879,1398,9769
12/31/08,700,31409,5650,10876,1968,15853,1496,10513
12/31/08,800,33109,5958,11711,2098,16940,1603,10918
12/31/08,900,33985,6097,12106,2140,17377,1659,11002
12/31/08,1000,34794,6302,12308,2198,17746,1715,10972
12/31/08,1100,35374,6436,12476,2243,18040,1750,10924
12/31/08,1200,35637,6491,12516,2255,18149,1775,10950
12/31/08,1300,35802,6471,12488,2240,18000,1784,10958
12/31/08,1400,35750,6507,12294,2215,17828,1775,10939
12/31/08,1500,35638,6429,12112,2193,17607,1755,11103
12/31/08,1600,35859,6423,11929,2167,17473,1751,11301
12/31/08,1700,37455,6657,11892,2187,17719,1793,12044
12/31/08,1800,41362,7170,12632,2305,18731,1922,13538
12/31/08,1900,41580,7244,13622,2348,19192,1929,13858
12/31/08,2000,40656,7018,13423,2280,18670,1879,13660
12/31/08,2100,39409,6817,13073,2192,18319,1831,13435
12/31/08,2200,38010,6580,12676,2127,17963,1769,13071
12/31/08,2300,36488,6357,12255,2052,17546,1701,12748
12/31/08,2400,35167,6174,11731,1993,17141,1631,12477
12/30/08,100,28104,5147,10797,1729,14809,1401,9114
12/30/08,200,26922,4971,10192,1694,14518,1337,8925
12/30/08,300,26335,4906,9821,1673,14263,1313,8793
12/30/08,400,26289,4930,9629,1679,14293,1306,8875
12/30/08,500,26953,5024,9605,1712,14718,1335,9186
12/30/08,600,28750,5273,9798,1808,15349,1402,9862
12/30/08,700,31431,5659,10408,1956,16395,1504,10729
12/30/08,800,33248,5933,11344,2079,17284,1605,11294
12/30/08,900,34005,5998,11835,2121,17551,1650,11278
12/30/08,1000,34397,6055,11986,2153,17477,1701,10961
12/30/08,1100,34521,6054,12129,2126,17202,1733,10690
12/30/08,1200,34267,5958,12217,2096,16656,1724,10324
12/30/08,1300,33693,5781,12172,2049,16163,1683,10169
12/30/08,1400,33248,5702,12058,2003,15771,1656,9925
12/30/08,1500,32901,5535,11995,1973,15491,1647,9701
12/30/08,1600,32761,5438,11884,1921,15236,1645,9601
12/30/08,1700,34123,5613,11966,1932,15364,1668,9933
12/30/08,1800,37790,6189,12795,2061,16455,1800,11191
12/30/08,1900,38171,6387,13397,2175,17185,1837,11618
12/30/08,2000,37748,6428,13262,2147,17248,1822,11593
12/30/08,2100,37213,6446,13128,2103,17244,1795,11498
12/30/08,2200,35861,6257,12936,2036,16922,1736,11193
12/30/08,2300,33578,5934,12516,1927,16312,1625,10600
12/30/08,2400,31028,5542,11843,1803,15280,1518,9930
12/29/08,100,25294,4693,10461,1722,14105,1347,7555
12/29/08,200,24369,4584,9977,1685,13932,1301,7288
12/29/08,300,24033,4628,9691,1671,13959,1287,7253
12/29/08,400,24172,4671,9557,1684,14027,1276,7325
12/29/08,500,25075,4788,9557,1715,14387,1308,7643
12/29/08,600,27074,5129,9804,1824,15096,1383,8300
12/29/08,700,29937,5546,10438,1981,16310,1492,9247
12/29/08,800,32060,5890,11373,2123,17343,1594,9959
12/29/08,900,32970,6039,11850,2143,17595,1633,10233
12/29/08,1000,33488,6032,12062,2159,17523,1646,10273
12/29/08,1100,33687,5979,12145,2156,17216,1686,10296
12/29/08,1200,33477,5908,12222,2124,16783,1680,10226
12/29/08,1300,33076,5797,12168,2079,16288,1663,10028
12/29/08,1400,32626,5646,12061,2030,16003,1646,9808
12/29/08,1500,32173,5554,11950,1981,15620,1636,9636
12/29/08,1600,31975,5480,11855,1934,15314,1629,9536
12/29/08,1700,33413,5645,11828,1936,15490,1657,9884
12/29/08,1800,37263,6248,12530,2082,16679,1794,11185
12/29/08,1900,37703,6424,13416,2198,17432,1811,11626
12/29/08,2000,37286,6438,13341,2173,17540,1799,11595
12/29/08,2100,36602,6359,13181,2130,17398,1770,11445
12/29/08,2200,35144,6143,12900,2065,17079,1711,11056
12/29/08,2300,32754,5816,12427,1963,16371,1612,10384
12/29/08,2400,30122,5442,11635,1834,15457,1500,9687
12/28/08,100,25904,4362,9869,1422,11892,1266,7787
12/28/08,200,24527,4148,9549,1345,11484,1204,7401
12/28/08,300,23741,4057,9370,1315,11195,1164,7146
12/28/08,400,23254,3996,9270,1288,11120,1133,7057
12/28/08,500,23134,3981,9243,1302,11085,1136,7023
12/28/08,600,23464,4035,9323,1348,11327,1134,7141
12/28/08,700,24175,4144,9506,1439,11774,1160,7390
12/28/08,800,24884,4267,9813,1553,12351,1207,7685
12/28/08,900,25926,4476,9956,1651,12938,1248,8074
12/28/08,1000,27179,4722,10127,1727,13512,1295,8518
12/28/08,1100,28105,4837,10371,1786,13876,1320,8688
12/28/08,1200,28503,4875,10494,1815,14081,1375,8724
12/28/08,1300,28602,4887,10597,1827,14134,1381,8740
12/28/08,1400,28427,4860,10552,1806,14041,1384,8678
12/28/08,1500,28289,4765,10454,1761,13824,1381,8606
12/28/08,1600,28535,4742,10365,1738,13727,1394,8643
12/28/08,1700,29787,4955,10475,1775,14036,1428,8954
12/28/08,1800,32423,5473,11338,1968,15324,1580,9840
12/28/08,1900,32672,5654,12352,2075,15955,1635,9941
12/28/08,2000,32411,5655,12431,2054,15956,1633,9815
12/28/08,2100,31968,5630,12350,2033,15985,1621,9614
12/28/08,2200,30872,5490,12127,1983,15703,1595,9229
12/28/08,2300,29129,5215,11782,1901,15173,1514,8707
12/28/08,2400,26982,4948,11158,1810,14584,1418,8044
12/27/08,100,28156,4870,10232,1561,13585,1393,9223
12/27/08,200,26845,4649,9573,1471,13148,1328,8837
12/27/08,300,26085,4574,9149,1430,12818,1304,8653
12/27/08,400,25704,4548,8877,1400,12704,1274,8572
12/27/08,500,25750,4569,8764,1394,12716,1274,8629
12/27/08,600,26327,4706,8832,1419,12899,1283,8845
12/27/08,700,27318,4855,9008,1464,13272,1303,9199
12/27/08,800,28395,5039,9340,1545,13720,1339,9538
12/27/08,900,29892,5238,9687,1599,14114,1370,9970
12/27/08,1000,31386,5401,10074,1679,14446,1424,10283
12/27/08,1100,32191,5434,10484,1729,14383,1452,10312
12/27/08,1200,32223,5345,10629,1738,14153,1442,10106
12/27/08,1300,31728,5167,10639,1715,13873,1450,9699
12/27/08,1400,30975,5001,10620,1683,13452,1439,9191
12/27/08,1500,30398,4863,10531,1664,13220,1423,8893
12/27/08,1600,30251,4829,10558,1637,13058,1419,8792
12/27/08,1700,31573,4912,10654,1665,13151,1449,9019
12/27/08,1800,34133,5428,11355,1782,14096,1573,10055
12/27/08,1900,34299,5555,11759,1830,14478,1619,10248
12/27/08,2000,33853,5517,11704,1802,14314,1604,10075
12/27/08,2100,33188,5413,11551,1767,14210,1580,9853
12/27/08,2200,32030,5287,11311,1701,13955,1534,9475
12/27/08,2300,30204,5015,10945,1617,13429,1464,8957
12/27/08,2400,27975,4619,10382,1512,12632,1355,8340
12/26/08,100,28605,5088,10895,1829,15062,1473,9333
12/26/08,200,27819,4986,10379,1774,14865,1426,9271
12/26/08,300,27511,4965,10062,1748,14731,1394,9316
12/26/08,400,27647,5009,9873,1741,14712,1381,9557
12/26/08,500,28295,5108,9857,1746,14803,1392,9979
12/26/08,600,29665,5294,9967,1797,15280,1432,10665
12/26/08,700,31531,5576,10293,1896,15861,1519,11291
12/26/08,800,32758,5865,10850,1985,16404,1570,11755
12/26/08,900,33850,6037,11212,2037,16748,1607,11977
12/26/08,1000,34883,6168,11444,2097,17004,1651,11987
12/26/08,1100,35012,6073,11787,2143,17109,1655,11782
12/26/08,1200,34731,6001,12002,2144,17047,1633,11322
12/26/08,1300,34028,5819,12007,2137,16795,1613,10964
12/26/08,1400,33168,5671,11910,2104,16536,1586,10812
12/26/08,1500,32741,5608,11850,2072,16323,1612,10757
12/26/08,1600,32874,5660,11817,2026,16120,1679,10794
12/26/08,1700,34653,5876,11913,2028,16046,1723,11209
12/26/08,1800,37685,6277,12679,2120,16685,1800,12048
12/26/08,1900,37566,6237,13147,2125,16780,1795,11990
12/26/08,2000,36822,6190,12888,2065,16582,1768,11727
12/26/08,2100,36035,6060,12611,1998,16298,1727,11424
12/26/08,2200,34706,5855,12307,1923,15960,1667,11027
12/26/08,2300,32669,5572,11815,1813,15302,1575,10466
12/26/08,2400,30237,5193,11075,1678,14348,1480,9796
12/25/08,100,26756,4495,11726,1809,13831,1425,8143
12/25/08,200,25222,4312,11218,1752,13514,1373,7672
12/25/08,300,24357,4224,10882,1727,13387,1342,7462
12/25/08,400,24088,4216,10682,1716,13433,1323,7385
12/25/08,500,24297,4299,10562,1748,13680,1317,7469
12/25/08,600,25066,4453,10578,1800,14098,1340,7758
12/25/08,700,26314,4678,10744,1890,14733,1380,8217
12/25/08,800,27456,4986,11050,1977,15467,1427,8757
12/25/08,900,28767,5206,11098,2046,15941,1455,9158
12/25/08,1000,29682,5329,11170,2076,16054,1498,9378
12/25/08,1100,29976,5348,11214,2080,15838,1517,9366
12/25/08,1200,29889,5299,11242,2035,15481,1543,9259
12/25/08,1300,29512,5133,11162,1964,14902,1521,9110
12/25/08,1400,28965,4909,11061,1880,14248,1602,8881
12/25/08,1500,28332,4764,10956,1797,13737,1491,8663
12/25/08,1600,28288,4706,10906,1764,13524,1488,8571
12/25/08,1700,29584,4846,10989,1783,13776,1513,8794
12/25/08,1800,32269,5277,11829,1935,14904,1622,9688
12/25/08,1900,32631,5486,12482,2038,15683,1639,9912
12/25/08,2000,32781,5605,12449,2051,15982,1652,10001
12/25/08,2100,33033,5666,12383,2056,16212,1660,10132
12/25/08,2200,32841,5667,12256,2043,16262,1662,10152
12/25/08,2300,31783,5559,12059,2001,16030,1625,9959
12/25/08,2400,30034,5294,11547,1912,15527,1541,9603
12/24/08,100,32036,5521,11702,1945,15885,1544,11045
12/24/08,200,30515,5290,10880,1838,15245,1478,10670
12/24/08,300,29621,5181,10380,1782,14893,1438,10422
12/24/08,400,29310,5119,10094,1750,14678,1410,10354
12/24/08,500,29665,5131,9958,1749,14686,1403,10424
12/24/08,600,30950,5268,10062,1800,14948,1462,10903
12/24/08,700,33169,5543,10475,1883,15584,1544,11471
12/24/08,800,34947,5761,11136,1994,16267,1623,11876
12/24/08,900,36233,5950,11677,2059,16599,1672,12117
